split,race_date,R,E,E4,TE,X,won,Horse,NewSplit
A BIT OF BOTH_var102B_LifeTime: Life,9/28/2018,1,1,0,3,0,1,A BIT OF BOTH,
A BIT OF BOTH_var102B_LifeTime: Life,1/10/2019,1,0,0,0,1,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,2/14/2019,1,1,1,4,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,3/14/2019,1,1,0,2,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,4/20/2019,1,1,1,4,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,6/15/2019,1,1,0,3,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,7/14/2019,1,0,0,1,0,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,10/14/2019,1,0,0,0,1,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,10/14/2019,1,1,0,2,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,11/26/2019,1,1,1,4,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,12/14/2019,1,0,0,0,1,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,1/25/2020,1,0,0,0,1,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,7/11/2020,1,1,0,2,0,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,8/28/2020,1,0,0,0,1,0,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,10/11/2020,1,1,0,2,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,11/15/2020,1,0,0,0,0,1,A BIT OF BOTH,LT Races
A BIT OF BOTH_var102B_LifeTime: Life,12/5/2020,1,0,0,0,1,0,A BIT OF BOTH,LT Races
